ID,Stop name,Short name,Code,Authority name,Authority short name,Latitude,Longitude,Country name,Country code,Timezone,Service station
7371,Aire de service du Creux Moreau,Aire de service du Creux Moreau,opCRE,Aire de service du Creux Moreau,Aire de service du Creux Moreau,47.112425,4.712212,France,FR,Europe/Paris,Yes
7586,Raststätte Hildesheimer Börde,,RSHB,,,52.128028,10.050453,Germany,DE,Europe/Berlin,Yes
7817,Tankstelle Castelnuovo,,Castelnuovo,,,44.978087,8.893568,Italy,IT,Europe/Rome,Yes
7982,Freiburg Messe service station,Freiburg Messe service station,FR-MSS,,,48.018048,7.839281,Germany,DE,Europe/Berlin,Yes
8008,Infoteria Lillebælt Syd,Lillebælt Syd,Lillebælt Syd,Infoteria Lillebælt Syd,Lillebælt Syd,55.478138,9.87882,Denmark,DK,Europe/Copenhagen,Yes
8009,Infoteria Lillebælt Nord,Lillebælt Nord,ILN,Infoteria Lillebælt Nord,Lillebælt Nord,55.488146,9.84381,Denmark,DK,Europe/Copenhagen,Yes
8303,Kappel-Grafenhausen / Ettenheim (Autohof) SERVICE STATION,Autohof Kappel-Grafenhausen,Kappel-Grafenhausen,Autohof,Autohof Kappel-Grafenhausen,48.281308,7.777126,Germany,DE,Europe/Berlin,Yes
8386,Frankenwald Ost - Brückenrasthof,Frankenwald Ost,AH Frankenwald Ost,,,50.405092,11.775027,Germany,DE,Europe/Berlin,Yes
8387,Frankenwald West - Brückenrasthof,Frankenwald  West,AH Frankenwald West,,,50.404886,11.77143,Germany,DE,Europe/Berlin,Yes
8434,Tournus Péage,,opMAC,,,46.579069,4.901117,France,FR,Europe/Paris,Yes
8535,MAXI Autohof Gießen,Autohof Gießen,MAXI Autohof Gießen,,,50.529363,8.607686,Germany,DE,Europe/Berlin,Yes
